id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status,label
967467615,0,818,0,0,28.51,93304.13,44.96,1645640.87,b0,alcohol
967467615,0,5032,0,29,28.58,93306.93,44.71,66597.30,b0,alcohol
967467615,0,5719,1,34,28.73,93314.85,44.39,5684.85,b0,alcohol
967467615,0,6406,2,39,27.96,93305.55,43.90,22783.91,b0,alcohol
967467615,0,7093,3,44,28.49,93305.44,43.63,5684.85,b0,alcohol
967467615,0,7780,4,49,28.43,93306.55,43.25,5684.85,b0,alcohol
967467615,0,12214,0,29,28.60,93304.60,40.93,5684.85,b0,alcohol
967467615,0,12999,1,34,28.96,93308.76,40.69,5684.85,b0,alcohol
967467615,0,13686,2,39,28.14,93305.36,40.30,12357.60,b0,alcohol
967467615,0,14373,3,44,28.77,93311.61,40.21,5684.85,b0,alcohol
967467615,0,15060,4,49,28.71,93310.80,39.99,5684.85,b0,alcohol
967467615,0,19454,0,29,28.66,93309.27,38.88,5684.85,b0,alcohol
967467615,0,20239,1,34,29.01,93307.81,38.80,5684.85,b0,alcohol
967467615,0,20926,2,39,28.20,93304.64,38.58,10610.08,b0,alcohol
967467615,0,21613,3,44,28.83,93313.46,38.62,5684.85,b0,alcohol
967467615,0,22300,4,49,28.76,93311.51,38.55,5684.85,b0,alcohol
967467615,0,26704,0,29,28.71,93318.76,38.04,5684.85,b0,alcohol
967467615,0,27489,1,34,29.06,93313.34,38.03,5684.85,b0,alcohol
967467615,0,28176,2,39,28.25,93311.59,37.87,10097.82,b0,alcohol
967467615,0,28863,3,44,28.88,93309.41,37.97,5684.85,b0,alcohol
967467615,0,29550,4,49,28.81,93314.38,37.96,5684.85,b0,alcohol
967467615,0,33944,0,29,28.76,93313.49,37.69,5684.85,b0,alcohol
967467615,0,34729,1,34,29.11,93313.44,37.71,5684.85,b0,alcohol
967467615,0,35416,2,39,28.30,93313.30,37.58,9975.06,b0,alcohol
967467615,0,36103,3,44,28.93,93315.71,37.69,5684.85,b0,alcohol
967467615,0,36790,4,49,28.86,93318.91,37.70,5684.85,b0,alcohol
967467615,0,41194,0,29,28.80,93317.63,37.54,5684.85,b0,alcohol
967467615,0,41881,1,34,29.16,93317.55,37.56,5684.85,b0,alcohol
967467615,0,42666,2,39,28.34,93319.43,37.44,9947.16,b0,alcohol
967467615,0,43353,3,44,28.97,93316.66,37.56,5684.85,b0,alcohol
967467615,0,44040,4,49,28.90,93319.48,37.58,5684.85,b0,alcohol
967467615,0,48434,0,29,28.85,93323.74,37.45,5684.85,b0,alcohol
967467615,0,49219,1,34,29.20,93324.10,37.49,5684.85,b0,alcohol
967467615,0,49906,2,39,28.39,93323.76,37.35,10040.79,b0,alcohol
967467615,0,50593,3,44,29.02,93323.59,37.49,5684.85,b0,alcohol
967467615,0,51280,4,49,28.94,93323.80,37.50,5684.85,b0,alcohol
967467615,0,55674,0,29,28.90,93330.28,37.41,5684.85,b0,alcohol
967467615,0,56459,1,34,29.24,93329.06,37.45,5684.85,b0,alcohol
967467615,0,57146,2,39,28.43,93324.34,37.33,10233.45,b0,alcohol
967467615,0,57833,3,44,29.06,93329.32,37.48,5684.85,b0,alcohol
967467615,0,58520,4,49,28.98,93325.78,37.49,5684.85,b0,alcohol
967467615,0,62924,0,29,28.93,93330.66,37.40,5684.85,b0,alcohol
967467615,0,63709,1,34,29.28,93331.84,37.45,5684.85,b0,alcohol
967467615,0,64396,2,39,28.47,93325.74,37.33,10332.58,b0,alcohol
967467615,0,65083,3,44,29.10,93333.12,37.47,5684.85,b0,alcohol
967467615,0,65770,4,49,29.03,93336.33,37.48,5684.85,b0,alcohol
967467615,0,70174,0,29,28.97,93331.48,37.39,5684.85,b0,alcohol
967467615,0,70861,1,34,29.31,93330.23,37.44,5684.85,b0,alcohol
967467615,0,71646,2,39,28.50,93332.72,37.33,10443.86,b0,alcohol
967467615,0,72333,3,44,29.13,93334.89,37.47,5684.85,b0,alcohol
967467615,0,73020,4,49,29.06,93332.13,37.47,5684.85,b0,alcohol
967467615,0,77414,0,29,29.00,93332.66,37.39,5684.85,b0,alcohol
967467615,0,78199,1,34,29.35,93330.22,37.43,5684.85,b0,alcohol
967467615,0,78886,2,39,28.54,93328.34,37.32,10568.03,b0,alcohol
967467615,0,79573,3,44,29.17,93338.69,37.46,5684.85,b0,alcohol
967467615,0,80260,4,49,29.10,93338.90,37.47,5684.85,b0,alcohol
