id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status,label
967467615,0,818,0,0,27.63,93297.75,40.99,289183.84,b0,natural air
967467615,0,5032,0,29,27.69,93291.27,41.17,253339.94,b0,natural air
967467615,0,5719,1,34,27.82,93296.15,41.22,87761.40,b0,natural air
967467615,0,6406,2,39,27.06,93294.53,41.12,2954201.25,b0,natural air
967467615,0,7093,3,44,27.57,93298.70,41.27,109448.48,b0,natural air
967467615,0,7780,4,49,27.50,93299.07,41.32,361071.94,b0,natural air
967467615,0,12214,0,29,27.66,93293.80,41.40,309365.56,b0,natural air
967467615,0,12999,1,34,28.00,93297.98,41.45,108820.41,b0,natural air
967467615,0,13686,2,39,27.21,93294.60,41.31,9230423.00,b0,natural air
967467615,0,14373,3,44,27.81,93299.42,41.42,141710.48,b0,natural air
967467615,0,15060,4,49,27.73,93291.08,41.42,679045.06,b0,natural air
967467615,0,19454,0,29,27.64,93289.95,41.35,463034.13,b0,natural air
967467615,0,20239,1,34,27.97,93292.74,41.40,132780.08,b0,natural air
967467615,0,20926,2,39,27.19,93299.88,41.27,13490325.00,b0,natural air
967467615,0,21613,3,44,27.78,93294.55,41.40,171123.00,b0,natural air
967467615,0,22300,4,49,27.71,93292.96,41.39,865595.94,b0,natural air
967467615,0,26704,0,29,27.65,93298.23,41.37,553065.06,b0,natural air
967467615,0,27489,1,34,27.99,93296.44,41.43,146704.88,b0,natural air
967467615,0,28176,2,39,27.19,93295.26,41.29,16322790.00,b0,natural air
967467615,0,28863,3,44,27.80,93296.48,41.43,183842.02,b0,natural air
967467615,0,29550,4,49,27.72,93296.71,41.42,964672.63,b0,natural air
967467615,0,33944,0,29,27.65,93296.84,41.39,610978.50,b0,natural air
967467615,0,34729,1,34,27.99,93301.23,41.45,161259.84,b0,natural air
967467615,0,35416,2,39,27.19,93295.45,41.31,19980488.00,b0,natural air
967467615,0,36103,3,44,27.79,93297.30,41.43,209750.11,b0,natural air
967467615,0,36790,4,49,27.72,93298.49,41.43,1116076.25,b0,natural air
967467615,0,41194,0,29,27.62,93298.03,41.41,703538.31,b0,natural air
967467615,0,41881,1,34,27.95,93295.44,41.46,178459.39,b0,natural air
967467615,0,42666,2,39,27.16,93296.20,41.33,24390026.00,b0,natural air
967467615,0,43353,3,44,27.76,93296.09,41.45,228877.97,b0,natural air
967467615,0,44040,4,49,27.68,93299.29,41.46,1269683.87,b0,natural air
967467615,0,48434,0,29,27.57,93299.27,41.46,799219.50,b0,natural air
967467615,0,49219,1,34,27.90,93299.53,41.51,199571.23,b0,natural air
967467615,0,49906,2,39,27.08,93297.23,41.38,28718668.00,b0,natural air
967467615,0,50593,3,44,27.68,93293.90,41.50,251844.56,b0,natural air
967467615,0,51280,4,49,27.60,93295.73,41.50,1442761.50,b0,natural air
967467615,0,55684,0,29,27.50,93296.47,41.53,902202.63,b0,natural air
967467615,0,56371,1,34,27.83,93293.70,41.60,210266.94,b0,natural air
967467615,0,57156,2,39,27.04,93294.63,41.47,31629344.00,b0,natural air
967467615,0,57843,3,44,27.65,93295.45,41.60,262901.16,b0,natural air
967467615,0,58530,4,49,27.58,93294.03,41.60,1507545.12,b0,natural air
967467615,0,62924,0,29,27.51,93290.02,41.61,908204.00,b0,natural air
967467615,0,63709,1,34,27.85,93289.80,41.67,210786.33,b0,natural air
967467615,0,64396,2,39,27.05,93286.59,41.53,32524070.00,b0,natural air
967467615,0,65083,3,44,27.66,93284.48,41.66,263103.81,b0,natural air
967467615,0,65770,4,49,27.59,93297.41,41.66,1532074.00,b0,natural air
967467615,0,70174,0,29,27.51,93289.63,41.64,940744.13,b0,natural air
967467615,0,70959,1,34,27.84,93289.26,41.69,223190.94,b0,natural air
967467615,0,71646,2,39,27.03,93287.31,41.56,35861012.00,b0,natural air
967467615,0,72333,3,44,27.64,93295.09,41.69,280624.84,b0,natural air
967467615,0,73020,4,49,27.57,93289.90,41.67,1656622.87,b0,natural air
967467615,0,77414,0,29,27.47,93292.22,41.67,1001467.00,b0,natural air
967467615,0,78199,1,34,27.81,93292.24,41.72,229339.31,b0,natural air
967467615,0,78886,2,39,27.00,93290.45,41.59,38013920.00,b0,natural air
967467615,0,79573,3,44,27.60,93291.34,41.71,287478.94,b0,natural air
967467615,0,80260,4,49,27.53,93292.91,41.72,1737802.25,b0,natural air
967467615,0,84664,0,29,27.41,93294.13,41.71,1063896.12,b0,natural air
967467615,0,85449,1,34,27.73,93288.87,41.77,239981.25,b0,natural air
967467615,0,86136,2,39,26.93,93293.42,41.64,41478480.00,b0,natural air
967467615,0,86823,3,44,27.52,93293.59,41.77,305489.25,b0,natural air
967467615,0,87510,4,49,27.45,93294.91,41.78,1868613.12,b0,natural air
967467615,0,91914,0,29,27.38,93289.70,41.82,1125274.75,b0,natural air
967467615,0,92699,1,34,27.72,93287.13,41.87,244624.94,b0,natural air
967467615,0,93386,2,39,26.93,93289.04,41.74,42611184.00,b0,natural air
967467615,0,94073,3,44,27.51,93293.40,41.87,306586.81,b0,natural air
967467615,0,94760,4,49,27.44,93285.82,41.87,1884084.62,b0,natural air
967467615,0,99154,0,29,27.37,93292.14,41.92,1141265.00,b0,natural air
967467615,0,99939,1,34,27.71,93286.98,41.99,250734.58,b0,natural air
967467615,0,100626,2,39,26.93,93287.65,41.87,44795624.00,b0,natural air
967467615,0,101313,3,44,27.52,93288.57,42.01,312480.94,b0,natural air
967467615,0,102000,4,49,27.45,93293.91,42.00,1937559.12,b0,natural air
967467615,0,106404,0,29,27.36,93291.43,42.04,1184842.37,b0,natural air
967467615,0,107091,1,34,27.69,93284.29,42.09,258912.77,b0,natural air
967467615,0,107876,2,39,26.91,93288.75,41.95,46861636.00,b0,natural air
967467615,0,108563,3,44,27.51,93288.43,42.08,321608.03,b0,natural air
967467615,0,109250,4,49,27.44,93288.42,42.07,2010306.75,b0,natural air
967467615,0,113644,0,29,27.40,93292.01,42.02,1218684.87,b0,natural air
967467615,0,114429,1,34,27.73,93283.67,42.07,261491.31,b0,natural air
967467615,0,115116,2,39,26.94,93287.76,41.92,47524292.00,b0,natural air
967467615,0,115803,3,44,27.56,93287.20,42.04,324667.09,b0,natural air
967467615,0,116490,4,49,27.49,93293.15,42.03,2019226.00,b0,natural air
967467615,0,120884,0,29,27.43,93288.66,41.98,1204705.87,b0,natural air
967467615,0,121669,1,34,27.77,93287.67,42.03,260096.52,b0,natural air
967467615,0,122356,2,39,26.97,93283.23,41.88,47524292.00,b0,natural air
967467615,0,123043,3,44,27.58,93288.88,42.01,325907.06,b0,natural air
967467615,0,123730,4,49,27.51,93289.25,41.99,2048000.00,b0,natural air
967467615,0,128134,0,29,27.43,93290.44,41.95,1226347.25,b0,natural air
967467615,0,128821,1,34,27.76,93286.89,41.99,264941.78,b0,natural air
967467615,0,129606,2,39,26.96,93289.05,41.85,51030564.00,b0,natural air
967467615,0,130293,3,44,27.56,93285.80,41.97,335517.69,b0,natural air
967467615,0,130980,4,49,27.48,93291.18,41.97,2147876.25,b0,natural air
967467615,0,135374,0,29,27.40,93286.42,41.92,1314927.75,b0,natural air
967467615,0,136061,1,34,27.72,93286.70,41.98,273650.47,b0,natural air
967467615,0,136846,2,39,26.93,93283.22,41.84,52883600.00,b0,natural air
967467615,0,137533,3,44,27.55,93287.43,41.97,342589.50,b0,natural air
967467615,0,138220,4,49,27.48,93289.19,41.97,2175252.25,b0,natural air
967467615,0,142614,0,29,27.41,93285.18,41.95,1334202.00,b0,natural air
967467615,0,143301,1,34,27.73,93282.66,42.01,274530.84,b0,natural air
967467615,0,144086,2,39,26.95,93285.16,41.87,53861516.00,b0,natural air
967467615,0,144773,3,44,27.55,93288.01,41.99,345712.34,b0,natural air
967467615,0,145460,4,49,27.48,93287.80,42.00,2230329.50,b0,natural air
967467615,0,149854,0,29,27.40,93285.41,41.96,1358090.12,b0,natural air
967467615,0,150639,1,34,27.72,93280.91,42.01,281087.03,b0,natural air
967467615,0,151326,2,39,26.95,93286.54,41.89,55645084.00,b0,natural air
967467615,0,152013,3,44,27.55,93289.84,42.00,352132.06,b0,natural air
967467615,0,152700,4,49,27.47,93286.45,41.99,2276820.50,b0,natural air
967467615,0,157094,0,29,27.39,93287.05,41.97,1399863.25,b0,natural air
967467615,0,157879,1,34,27.71,93283.55,42.02,284602.56,b0,natural air
967467615,0,158566,2,39,26.91,93282.73,41.88,57970808.00,b0,natural air
967467615,0,159253,3,44,27.48,93284.59,42.00,363765.53,b0,natural air
967467615,0,164056,0,79,27.32,93287.43,42.00,1514232.87,b0,natural air
967467615,0,168521,0,29,27.27,93282.49,42.04,1435178.75,b0,natural air
967467615,0,169208,1,34,27.61,93280.32,42.09,286513.72,b0,natural air
967467615,0,169993,2,39,26.82,93283.78,41.96,58241280.00,b0,natural air
967467615,0,170680,3,44,27.42,93284.51,42.09,359550.56,b0,natural air
967467615,0,171367,4,49,27.35,93281.07,42.09,2361487.50,b0,natural air
967467615,0,175761,0,29,27.24,93282.05,42.11,1469153.50,b0,natural air
967467615,0,176448,1,34,27.56,93280.80,42.15,289429.06,b0,natural air
967467615,0,177233,2,39,26.76,93286.07,42.03,60836388.00,b0,natural air
967467615,0,177920,3,44,27.37,93283.58,42.16,370477.56,b0,natural air
967467615,0,178607,4,49,27.31,93283.27,42.17,2443914.00,b0,natural air
967467615,0,183001,0,29,27.23,93285.08,42.19,1515073.00,b0,natural air
967467615,0,183786,1,34,27.57,93295.91,42.24,293915.03,b0,natural air
967467615,0,184473,2,39,26.76,93288.08,42.11,60794064.00,b0,natural air
967467615,0,185160,3,44,27.37,93282.20,42.24,367288.38,b0,natural air
967467615,0,185847,4,49,27.30,93283.37,42.23,2422235.25,b0,natural air
967467615,0,190241,0,29,27.20,93283.05,42.23,1517599.12,b0,natural air
967467615,0,191026,1,34,27.51,93287.81,42.28,300910.97,b0,natural air
967467615,0,191713,2,39,26.71,93285.70,42.13,63396372.00,b0,natural air
967467615,0,192400,3,44,27.32,93283.42,42.28,385179.63,b0,natural air
967467615,0,193087,4,49,27.25,93282.39,42.27,2553616.00,b0,natural air
967467615,0,197481,0,29,27.18,93282.55,42.28,1577204.50,b0,natural air
967467615,0,198266,1,34,27.51,93285.07,42.33,299590.41,b0,natural air
967467615,0,198953,2,39,26.71,93288.11,42.19,62849196.00,b0,natural air
967467615,0,199640,3,44,27.31,93284.67,42.33,378138.84,b0,natural air
967467615,0,200327,4,49,27.24,93286.23,42.32,2483929.75,b0,natural air
967467615,0,204721,0,29,27.14,93283.37,42.33,1557414.50,b0,natural air
967467615,0,205506,1,34,27.47,93288.03,42.38,300117.22,b0,natural air
